Kenteken,"As nummer","Aantal assen","Aangedreven as",Hefas,"Plaatscode as",Spoorbreedte,"Weggedrag code","Wettelijk toegestane maximum aslast","Technisch toegestane maximum aslast"
SZ382V,1,2,,,V,153,,1020,1020
V828PV,1,2,,,V,177,,1800,1800
SV146H,1,2,,,V,162,,1070,1070
SV718G,2,2,,,A,141,,650,650
SB673S,1,2,,,V,154,,950,
TB890H,1,2,,,V,162,,1050,1050
ST652G,2,2,,,A,140,,650,
V737LX,2,2,,N,A,153,,1230,1230
V044RB,1,2,,N,V,177,,1800,1800
SX521L,2,2,,,A,142,,695,695
TB017L,1,2,,,V,155,,1070,1070
TD731G,2,2,,,A,170,,1535,
TD678G,2,2,,,A,144,,760,
67WSST,1,2,,N,A,,,1750,1750
TB074F,2,2,,,A,154,,930,930
TD943G,2,2,,,A,152,,990,
SG187F,1,2,,,V,158,,940,
TB447P,2,2,,,A,151,,910,910
SV256B,1,2,,,V,181,,2100,
SV522F,2,2,,,A,155,,940,
TB630D,2,2,,,A,150,,940,940
TB801D,1,2,,,V,154,,920,920
TB240T,1,2,,,V,154,,900,900
V487RD,1,2,N,N,V,,,2000,2000
SX585T,2,2,,,A,151,,893,893
TB328V,1,2,,,V,153,,900,900
43WSRP,1,2,,N,A,,,1800,1800
TB945K,1,2,,,V,152,,740,740
V729RB,1,2,,N,V,177,,1800,1800
SX697P,1,2,,,V,153,,1035,1035
TD997J,2,2,,,A,146,,790,
V354PZ,1,2,,N,V,157,,1175,1175
SX590T,1,2,,,V,160,,1110,1110
TB037Z,2,2,,,A,151,,893,893
SH216T,1,2,,,V,157,,985,
23WRXV,1,2,,N,A,,,1000,1000
SX962G,1,2,,,V,164,,1190,1190
TB050F,1,2,,,V,158,,1050,1050
SZ629N,2,2,,,A,151,,893,893
38BLD2,2,5,J,N,V,,A,10000,10000
TB581T,2,2,,,A,147,,780,780
TD296K,1,2,,,V,147,,800,
TD293K,1,2,,,V,147,,920,
SV614T,2,2,,,A,141,,695,
V230PZ,2,2,,,A,163,,1650,1650
SZ075L,2,2,,,A,146,,800,800
OR33JN,2,3,,N,A,,,9000,9000
TB992T,1,2,,,V,141,,710,710
V476PS,1,2,,,V,162,,1610,1610
SZ726P,2,2,,,A,141,,650,650
SZ694T,2,2,,,A,154,,1070,1070
SZ213J,2,2,,,A,142,,650,
TB967K,2,2,,,A,141,,720,720
SV388V,2,2,,,A,142,,695,695
14ZKVG,2,2,,,,141,,695,695
TD301K,2,2,,,A,157,,950,
TB264T,2,2,,,A,150,,845,845
TB349B,1,2,,,V,156,,1020,1020
TB049X,2,2,,,A,152,,850,
SK097B,1,2,,,V,149,,895,895
OR32KD,1,3,,N,A,,,9000,9000
88BKZ2,3,3,J,N,A,,G,11500,11500
22WSSF,2,2,,N,A,,,1000,1000
V018PZ,1,2,,,V,162,,1585,1585
TB868R,1,2,,,V,141,,710,710
TD609H,2,2,,,A,163,,1430,1430
TB189N,2,2,,,A,148,,800,800
V386PX,2,2,,N,A,152,,2300,2300
SZ080X,2,2,,,A,152,,760,760
TB938B,2,2,,,A,156,,950,950
TD267D,1,2,,,V,142,,695,
SZ110G,1,2,,,V,166,,1300,1300
SZ344H,1,2,,,V,156,,1020,1020
SZ963F,2,2,,,A,144,,780,780
SZ615Z,1,2,,,V,155,,995,995
SF978V,1,2,,,V,155,,960,
SZ257X,1,2,,,V,152,,945,945
SZ907F,2,2,,,A,158,,1070,1070
TD132F,1,2,,,V,141,,885,
TD057D,2,2,,,A,198,,2000,
SZ377V,1,2,,,V,144,,840,840
SR367N,1,2,,,V,160,,1090,
TB992X,1,2,,,V,160,,1080,1080
SZ985H,1,2,,,V,164,,1210,
TB788P,2,2,,,A,152,,851,851
NX393Z,2,2,,,A,150,,825,
TB325J,1,2,,,V,150,,881,881
OR60KG,1,3,,N,A,,,9000,9000
SZ935P,1,2,,,V,150,,860,860
TD254D,1,2,,,V,162,,1450,
OR56KH,3,3,,J,A,,,9000,9000
TD298B,1,2,,,V,155,,1070,1070
V906PZ,2,2,,,A,174,,1415,1415
TB192T,1,2,,,V,141,,740,740
86WSST,1,2,,N,A,,,1000,1000
PX407X,1,2,,,V,156,,935,
SX286V,2,2,,,A,150,,940,940
V257PX,2,2,,,A,172,,2250,2250
TB023G,1,2,,,V,155,,955,955
KB346H,2,2,,,A,156,,930,
V622RB,1,2,,,V,181,,1630,1630
TB979R,1,2,,,V,154,,980,980
SZ392V,2,2,,,A,148,,870,870
V772PX,2,2,,N,A,165,,1550,1550
TB926J,1,2,,,V,153,,975,975
SV500J,2,2,,,A,157,,1150,
SZ706G,1,2,,,V,150,,860,860
SX089H,1,2,,,V,147,,815,
TB972V,2,2,,,A,152,,970,970
TB018Z,2,2,,,A,152,,851,851
SK814R,1,2,,,V,142,,695,
V153PZ,1,2,,,V,162,,1550,1550
TB859H,1,2,,,V,150,,859,859
TB617L,1,2,,,V,160,,1255,1255
TB332V,1,2,,,V,153,,900,900
SZ863N,1,2,,,V,153,,887,887
V433NV,1,2,,N,V,174,,1769,1769
SB565T,1,2,,,V,157,,985,985
69WSHP,1,3,,N,A,,,1166,1500
TB021F,1,2,,,V,144,,810,810
SF471R,2,2,,,A,152,,880,
TD271F,1,2,,,V,156,,1220,1220
TB573N,2,2,,,A,148,,800,800
SZ263S,1,2,,,V,150,,900,900
TB747B,1,2,,,V,150,,859,859
TB630P,2,2,,,A,149,,860,860
TB977J,2,2,,,A,141,,660,660
TD301K,1,2,,,V,157,,1040,
SZ381T,2,2,,,A,153,,875,875
TB961J,2,2,,,A,150,,1000,1000
TB294B,2,2,,,A,141,,640,640
ST262N,1,2,,,V,152,,1080,
V539NZ,2,2,,,A,156,,1050,1050
TB490J,1,2,,,V,142,,695,
SZ517V,2,2,,,A,148,,800,800
TB660L,1,2,,,V,156,,995,995
20WSSR,3,3,,N,A,,,1200,1200
TD900J,1,2,,,V,164,,1300,
37WSST,1,2,,N,A,,,10000,10000
SX645N,2,2,,,A,140,,720,720
SX519Z,1,2,,,V,152,,900,900
SX853X,1,2,,,V,166,,1350,
OR32KD,3,3,,N,A,,,9000,9000
TB772D,2,2,,,A,153,,1070,1070
V043RB,2,2,,,A,164,,1850,1850
SZ360F,1,2,,,V,154,,1060,
SZ612Z,2,2,,,A,156,,1080,1080
TB008Z,2,2,,,A,152,,867,867
TB186N,1,2,,,V,153,,920,920
SZ560Z,1,2,,,V,154,,965,965
V221PX,2,2,,,A,105,,1200,1200
SZ385V,2,2,,,A,148,,800,800
SL615D,2,2,,,A,157,,1075,1075
08WSSP,2,3,,N,A,,,1200,1200
SR963V,2,2,,,A,157,,765,765
PN671X,2,2,,,A,157,,1000,
OR37KH,2,2,,N,A,,,3350,3350
SZ254B,1,2,,,V,159,,1060,1060
ST549V,1,2,,,V,158,,1030,1030
TD723B,2,2,,,A,156,,1080,1080
TB692D,2,2,,,A,141,,650,650
TD662B,2,2,,,A,166,,1340,1340
TB772D,1,2,,,V,156,,1040,1040
TB211P,2,2,,,A,154,,1110,
OR95JX,3,3,,N,A,,,9000,9000
SZ912L,1,2,,,V,143,,700,
SX529L,1,2,,,V,143,,695,695
V789PX,1,2,,N,V,175,,1850,1850
SZ065Z,2,2,,,A,159,,970,970
TD079B,2,2,,,A,148,,790,790
TB790G,2,2,,,A,155,,1070,1070
SZ350H,2,2,,,A,156,,1045,1045
TB928N,1,2,,,V,147,,820,
TB114F,2,2,,,A,150,,880,880
TB682D,2,2,,,A,157,,1120,1120
OR09JT,1,3,,J,A,,,9000,9000
SV164F,1,2,,,V,157,,1060,1060
SX011P,2,2,,,A,158,,1010,
SZ053G,2,2,,,A,151,,852,852
13WSSP,3,3,,N,A,,,1200,1200
V957RB,1,2,,,V,162,,1585,1585
TD543B,2,2,,,A,142,,710,710
SZ663R,2,2,,,A,164,,1370,1370
RN477F,1,2,,,V,144,,840,840
TB399G,2,2,,,A,163,,1400,1400
TB256H,2,2,,,A,159,,1330,
TB826S,1,2,,,V,163,,1160,1160
TB443X,2,2,,,A,152,,867,
SL739H,1,2,,,V,156,,1020,1020
TB016Z,2,2,,,A,152,,867,867
SZ505V,2,2,,,A,141,,650,650
TB759S,1,2,,,V,152,,740,740
SZ676S,2,2,,,A,148,,800,
SX283V,1,2,,,V,153,,955,955
TB707F,2,2,,,A,163,,1070,1070
TB139X,2,2,,,A,141,,640,
SZ284Z,1,2,,,V,139,,740,740
SZ926P,1,2,,,V,154,,920,920
SZ382S,1,2,,,V,150,,865,
40WSSH,1,2,,N,A,,,1420,1420
ST690S,1,2,,,V,150,,830,830
V829PT,2,2,,,A,164,,1850,1850
SZ262V,2,2,,,A,156,,1030,1030
SZ262L,2,2,,,A,158,,955,955
TB284D,2,2,,,A,144,,740,740
SX396V,1,2,,,V,153,,980,980
SX615D,2,2,,,A,153,,840,
V329PX,1,2,,,V,151,,1050,1050
SZ580V,1,2,,,V,141,,710,710
TB486F,2,2,,,A,161,,1200,1200
RT774X,2,2,,,A,148,,760,
TB476H,1,2,,,V,141,,830,830
TB835R,1,2,,,V,158,,1060,1060
TB778D,2,2,,,A,154,,960,960
SZ116Z,2,2,,,A,156,,1205,1205
TD562G,2,2,,,A,152,,870,
TD131F,1,2,,,V,154,,865,
SR730X,1,2,,,V,156,,965,965
SZ153B,2,2,,,A,151,,910,910
SV536G,2,2,,,A,147,,825,825
ST877F,1,2,,,V,156,,1050,1050
V502PT,2,2,,,A,170,,2240,2240
SV151J,2,2,,,A,170,,1900,
SX211B,1,2,,,V,154,,970,970
SV146V,1,2,,,V,150,,1120,1120
TD008K,1,2,,,V,148,,775,
OR77KJ,1,3,,J,A,,,9000,9000
TD234K,2,2,,,A,157,,1075,
TB271N,2,2,,,A,156,,1120,1120
TB135X,2,2,,,A,163,,1405,
SZ945T,1,2,,,V,157,,1022,1022
SZ673B,2,2,,,A,152,,1010,1010
TB489D,1,2,,,V,154,,1060,1060
22WSSV,1,2,,N,A,,,1750,1750
SZ887Z,2,2,,,A,155,,1035,
52BLB9,3,4,J,N,A,,G,11500,13000
TB477B,2,2,,,A,147,,820,820
TD960G,2,2,,,A,146,,770,
SZ790Z,1,2,,,V,152,,985,
SZ866Z,1,2,,,V,147,,835,
TB933N,1,2,,,V,156,,1080,
SG106N,1,2,,,V,155,,960,
ST705X,1,2,,,V,159,,985,985
SX285V,2,2,,,A,150,,940,940
V677PZ,1,2,,N,V,173,,1650,1650
OR95JX,2,3,,N,A,,,9000,9000
TB537T,2,2,,,A,150,,700,700
SX918K,2,2,,,A,146,,780,
SX842R,1,2,,,V,160,,1150,1150
TB969K,1,2,,,V,142,,700,700
SZ978L,1,2,,,V,181,,1850,
SZ896F,2,2,,,A,158,,1070,1070
TB200T,2,2,,,A,142,,710,710
SP698N,1,2,,,V,142,,695,
V452LN,2,2,,N,A,173,,2100,2100
SX332G,1,2,,,V,159,,1200,1200
5621TE,1,2,,,V,151,,,
TB200R,1,2,,,V,155,,975,975
TB105F,2,2,,,A,154,,970,970
TB160K,2,2,,,A,156,,1077,1077
TB866R,2,2,,,A,148,,830,830
RV648B,1,2,,,V,154,,955,
SP912L,1,2,,,V,159,,1200,1200
11WSSB,1,1,,N,A,,,1350,1350
48BLD1,4,4,N,J,A,,,8000,8200
TD334K,1,2,,,V,144,,935,
TB653D,2,2,,,A,152,,970,970
TB634D,2,2,,,A,150,,880,880
SZ386V,2,2,,,A,148,,800,800
TB086K,1,2,,,V,157,,990,990
85WSPR,2,2,,N,A,,,1500,1500
OR75FG,3,3,,N,A,,,9000,9000
OR48KG,2,3,,N,A,,,9000,9000
TB971R,1,2,,,V,158,,1065,1065
TD545B,2,2,,,A,142,,710,710
SZ102Z,1,2,,,V,156,,1045,1045
V366RD,1,2,,N,V,156,,1034,1034
TB674N,1,2,,,V,153,,920,920
RT607R,2,2,,,A,156,,980,980
V761LL,1,2,,N,V,175,,1850,1850
TB672J,2,2,,,A,161,,1285,1285
V080PS,2,2,,,A,156,,1300,1300
95WSPG,1,2,,N,A,,,1000,1000
95WSGR,1,1,,N,A,,,1500,1500
TB856D,2,2,,,A,152,,970,970
TD905J,1,2,,,V,173,,1750,
TB322L,1,2,,,V,155,,930,930
SV585J,2,2,,,A,152,,1010,1010
67BLB7,2,2,J,N,A,,G,11500,13000
TD124F,2,2,,,A,156,,980,980
TB387X,2,2,,,A,149,,1075,
SX473F,2,2,,,A,151,,980,980
76WSNZ,2,2,,N,A,,,1500,1500
45WSSH,2,3,,J,A,,,9000,9000
SZ391N,2,2,,,A,146,,825,825
SN311H,1,2,,,V,157,,1050,1050
TB529J,2,2,,,A,156,,1080,1080
SZ359H,1,2,,,V,162,,1140,1140
51WSSR,1,1,,N,A,,,1500,1500
TD669H,2,2,,,A,157,,1150,1150
TB206T,1,2,,,V,158,,1100,1100
SZ403K,2,2,,,A,152,,970,970
TB008X,1,2,,,V,146,,830,
RT586S,1,2,,,V,144,,810,810
15WSSX,1,2,,N,A,,,9000,9000
ST706T,2,2,,,A,151,,884,
TB114R,1,2,,,V,158,,1033,1033
34BLB6,1,3,N,N,V,213,,8000,8000
V267PX,2,2,,,A,163,,1550,1550
RT615K,2,2,,,A,147,,790,790
SZ263S,2,2,,,A,148,,800,800
77BLD1,3,3,J,N,A,,G,11500,11500
V498PS,1,2,,N,V,,,2100,2100
TB397G,2,2,,,A,156,,965,965
TB141H,1,2,,,V,151,,860,
OR65KK,2,3,,N,A,,,9000,9000
OR09JT,2,3,,N,A,,,9000,9000
SZ534B,2,2,,,A,148,,830,830
SZ456T,1,2,,,V,153,,887,887
TD865J,1,2,,,V,167,,1400,
TB958F,2,2,,,A,154,,995,995
SH113R,2,2,,,A,147,,790,
SK777R,2,2,,,A,143,,780,
OR08KJ,1,2,,N,A,,,8000,8000
SZ265S,2,2,,,A,148,,800,800
09WSSP,2,3,,N,A,,,1350,1350
SZ902F,2,2,,,A,158,,963,963
TB442X,1,2,,,V,146,,860,
V813PV,2,2,,,A,163,,1550,1550
TB273D,2,2,,,A,155,,940,940
SZ190S,2,2,,,A,145,,800,800
TD596D,2,2,,,A,173,,1900,
SP304N,1,2,,,V,156,,1015,
30BLD3,2,2,J,N,A,,G,11500,11500
TB094B,1,2,,,V,153,,961,
V168KZ,2,2,N,,A,163,,1550,1550
OR77FG,2,3,,N,A,,,9000,9000
TD306B,2,2,,,A,154,,990,990
SK472J,1,2,,,V,151,,840,
TB152V,2,2,,,A,141,,650,650
KP480J,1,2,,,V,146,,870,
WS38YK,2,2,,N,A,,,1000,1000
TB747G,1,2,,,V,157,,990,990
SZ315V,2,2,,,A,152,,980,980
48VGR2,2,2,,,A,144,,970,
TB553G,1,2,,,V,153,,950,950
TD152J,2,2,,,A,154,,1300,
SN162S,2,2,,,A,152,,851,
TD963J,2,2,,,A,153,,900,
TB800S,1,2,,,V,160,,1130,1130
TD461G,1,2,,,V,145,,810,
TD293D,1,2,,,V,157,,1000,
SZ218P,2,2,,,A,148,,790,790
TB318L,1,2,,,V,155,,955,955
TB522G,2,2,,,A,140,,720,720
TB862N,1,2,,,V,155,,1050,
BE9082,1,2,,N,V,169,,1417,1417
SX943X,2,2,,,A,157,,1090,
SZ577Z,1,2,,,V,157,,1070,1070
SZ983T,2,2,,,A,155,,945,945
TB623H,2,2,,,A,154,,928,928
TD197D,1,2,,,V,154,,1060,
SP085K,1,2,,,V,154,,1035,
SZ263R,1,2,,,V,167,,1280,1280
TB869H,1,2,,,V,160,,1080,1080
TB627D,2,2,,,A,150,,900,900
SX200F,1,2,,,V,150,,859,859
OR09KK,3,3,,N,A,,,9000,9000
V047RB,1,2,,N,V,177,,1800,1800
TB522P,1,2,,,V,154,,1050,1050
V562PP,2,2,,,A,162,,1800,1800
TB942K,2,2,,,A,152,,870,870
TD055K,2,2,,,A,158,,1010,
SZ650Z,2,2,,,A,170,,1450,1450
TB891H,2,2,,,A,162,,1010,1010
TB226H,1,2,,,V,149,,835,
TB054L,1,2,,,V,155,,1070,1070
V075RD,1,2,,N,V,165,,1400,1400
SX603B,2,2,,,A,159,,1035,1035
SK570K,1,2,,,V,151,,850,
SX339S,2,2,,,A,140,,720,720
SZ065L,1,2,,,V,147,,860,860
TB630D,1,2,,,V,153,,1050,1050
V264PX,2,2,,,A,163,,1625,1625
V220PX,2,2,,,A,105,,1200,1200
29YD51,2,2,,,A,143,,,
38WSSG,2,2,,N,A,,,1750,1750
TD673G,1,2,,,V,142,,700,
V758RB,2,2,,N,A,170,,2600,2600
V592PZ,1,2,,N,V,175,,1850,1850
TB044F,1,2,,,V,150,,840,840
38BLD2,1,5,J,N,V,,A,10000,10000
OR68KK,2,3,,N,A,,,9000,9000
TB571X,1,2,,,V,159,,1100,
96WSST,2,2,,N,A,,,1750,1750
SX250R,2,2,,,A,142,,695,695
TB989H,1,2,,,V,156,,920,920
SG187F,2,2,,,A,154,,940,
TD293K,2,2,,,A,146,,800,
SZ487K,2,2,,,A,148,,800,800
BE9082,2,2,,N,A,167,,1634,1634
TB290V,1,2,,,V,155,,945,945
TB757D,2,2,,,A,161,,1260,1260
TD906J,1,2,,,V,154,,1000,
PL015J,1,2,,,V,159,,1230,
SZ604T,1,2,,,V,158,,1040,1040
SL192H,2,2,,,A,163,,1450,
TB663B,2,2,,,A,149,,800,800
TB756D,2,2,,,A,161,,1260,1260
SV483F,1,2,,,V,159,,1020,
TB736G,2,2,,,A,150,,990,990
V505PP,2,2,,N,A,179,,2000,2000
TD539B,1,2,,,V,141,,740,740
SZ235S,1,2,,,V,158,,1010,1010
SJ229J,1,2,,,V,154,,1065,
SP532K,1,2,,,V,157,,975,
TB381P,1,2,,,V,155,,990,
SX712J,2,2,,,A,151,,910,910
SX581L,1,2,,,V,155,,990,990
TB244T,1,2,,,V,161,,1270,1270
64WRPV,2,2,,N,A,,,1000,1000
TB083G,1,2,,,V,161,,1060,1060
TB756D,1,2,,,V,161,,1125,1125
SZ295B,2,2,,,A,157,,1050,1050
SZ029V,2,2,,,A,161,,1310,1310
SK639S,2,2,,,A,156,,980,
VP983S,2,2,N,N,A,153,,1230,
SX190Z,1,2,,,V,153,,830,
TB939J,1,2,,,V,155,,995,995
TB799X,2,2,,,A,156,,970,970
SZ778T,1,2,,,V,160,,1150,1150
V559RD,1,2,,N,V,175,,1650,1650
SG136K,1,2,,,V,147,,870,870
TB151K,2,2,,,A,157,,1080,1080
TD179K,1,2,,,V,156,,965,
61WSSK,1,2,,N,A,,,2450,2450
RT690J,2,2,,,A,146,,770,
V251RB,1,2,,,V,162,,1610,1610
SX575B,2,2,,,A,154,,835,835
SZ351H,1,2,,,V,156,,1050,1050
TB828D,1,2,,,V,153,,900,900
TB877H,1,2,,,V,160,,1080,1080
SN644K,2,2,,,A,151,,876,
TD338K,2,2,,,A,160,,1360,
TD292K,2,2,,,A,158,,1145,
TD868G,2,2,,,A,163,,1575,
SX776X,1,2,,,V,147,,900,
SZ131N,2,2,,,A,152,,1190,
OR81JG,3,3,,N,A,,,10000,10000
SX764X,2,2,,,A,159,,1040,
86PHRR,1,2,,,,144,,855,855
TB063K,2,2,,,A,157,,1080,1080
SZ992L,2,2,,,A,154,,940,
V502PT,1,2,,,V,174,,1900,1900
TD883J,1,2,,,V,154,,1040,
TD231K,2,2,,,A,147,,1070,
TB875H,2,2,,,A,160,,1294,1294
OR96JY,2,3,,N,A,,,9000,9000
SZ141S,1,2,,,V,154,,920,920
TB915N,1,2,,,V,157,,1000,
TB476H,2,2,,,A,141,,640,640
ST386T,2,2,,,A,149,,1120,
SZ403Z,2,2,,,A,156,,1050,1050
SZ095V,1,2,,,V,156,,1220,1220
SZ744R,2,2,,,A,156,,965,965
SZ211F,2,2,,,A,142,,640,
TB244X,2,2,,,A,159,,1090,
TB802D,2,2,,,A,156,,1060,1060
SK382S,2,2,,,A,152,,970,
SZ769T,1,2,,,V,150,,800,800
SZ323S,2,2,,,A,156,,995,995
TB010Z,2,2,,,A,152,,867,867
RJ142D,1,2,,,V,148,,920,
ST429P,2,2,,,A,154,,760,760
44WSSV,1,2,,N,A,,,1750,1750
V324PG,2,2,,N,A,174,,2250,2250
OR08JZ,1,2,,N,A,,,10000,10000
SZ743P,2,2,,,A,153,,930,930
SZ856S,2,2,,,A,141,,695,
SX211B,2,2,,,A,153,,930,930
TD686G,1,2,,,V,181,,1850,
TD936J,2,2,,,A,157,,880,
TB294S,1,2,,,V,149,,900,900
OR59KG,2,3,,N,A,,,9000,9000
SZ647K,2,2,,,A,159,,950,950
V543PT,1,2,,,V,154,,1075,1075
SZ693N,1,2,,,V,156,,920,920
SK313R,2,2,,,A,140,,720,720
V739PT,1,2,,N,V,151,,1080,1080
TB154H,1,2,,,V,152,,1100,
TB131B,1,2,,,V,155,,1020,
TB328R,2,2,,,A,141,,760,760
TB029P,2,2,,,A,140,,640,
OR80KJ,3,3,,N,A,,,9000,9000
SZ322V,2,2,,,A,141,,650,650
SX764K,1,2,,,V,146,,770,
TB214X,2,2,,,A,145,,1000,
SX412D,1,2,,,V,154,,1110,
TD694D,2,2,,,A,142,,695,695
TB200T,1,2,,,V,141,,740,740
SH031D,2,2,,,A,161,,1215,1215
TB757J,2,2,,,A,158,,1105,1105
TB009Z,1,2,,,V,153,,961,961
09WSSP,1,3,,N,A,,,1350,1350
TB139H,2,2,,,A,156,,970,
SZ114Z,2,2,,,A,156,,965,965
SX160V,1,2,,,V,155,,1150,1150
TB750H,2,2,,,A,152,,765,765
SZ072L,2,2,,,A,146,,800,800
TB972H,1,2,,,V,150,,1120,1120
SR853V,1,2,,,V,161,,1270,1270
TD016K,1,2,,,V,155,,1000,
SX394R,2,2,,,A,156,,1080,1080
TD198D,2,2,,,A,158,,935,
V933PZ,1,2,,,V,157,,1175,1175
SX289V,2,2,,,A,155,,1130,1130
OR61KH,2,3,,N,A,,,9000,9000
TB576L,1,2,,,V,159,,765,765
32WSNP,1,1,,N,A,,,1350,1350
V995PS,2,2,,,A,167,,2450,2450
TD655G,2,2,,,A,152,,947,
TB692F,1,2,,,V,160,,1130,1130
67WSSN,2,2,,N,A,,,1350,1350
SZ172S,1,2,,,V,150,,860,860
V218PZ,1,2,,,V,151,,1090,1090
SN067G,2,2,,,A,148,,790,
SH802K,1,2,,,V,154,,1220,1220
SZ344V,1,2,,,V,154,,970,970
SV603G,1,2,,,V,156,,990,990
TB033L,2,2,,,A,163,,1070,1070
V355PS,2,2,,,A,153,,1230,1230
95WSPG,2,2,,N,A,,,1000,1000
SZ796Z,1,2,,,V,143,,695,
TB488X,1,2,,,V,162,,1275,
TB139H,1,2,,,V,155,,1030,
TB747B,2,2,,,A,151,,852,852
TB184R,1,2,,,V,150,,870,870
SZ285S,1,2,,,V,161,,1125,1125
TD267D,2,2,,,A,141,,695,
SZ040S,2,2,,,A,150,,700,700
SF664B,1,2,,,V,146,,750,
TB099Z,1,2,,,V,150,,780,780
SZ070L,1,2,,,V,147,,860,860
SV072N,1,2,,,V,154,,1090,
SP048K,2,2,,,A,159,,930,
OR69KK,1,3,,N,A,,,9000,9000
TD970J,2,2,,,A,139,,740,
TB745D,1,2,,,V,141,,710,710
V980NT,2,2,,,A,163,,1650,1650
SR636K,2,2,,,A,140,,720,720
TD837G,1,2,,,V,164,,1550,
TB334L,2,2,,,A,142,,710,710
TD479G,1,2,,,V,165,,1550,
TB712L,2,2,,,A,140,,720,720
SZ606J,1,2,,,V,150,,875,875
SB052R,1,2,,,V,150,,850,850
TB984B,1,2,,,V,147,,800,800
OR52KJ,3,3,,N,A,,,9000,9000
TB024Z,2,2,,,A,152,,851,851
TD543B,1,2,,,V,141,,740,740
TD135F,2,2,,,A,147,,750,750
V309NV,2,2,,N,A,154,,1300,1300
25WSLG,1,2,,N,A,,,1000,1000
TD845G,1,2,,,V,159,,1180,
SV251T,2,2,,,A,141,,640,
TD215K,1,2,,,V,146,,860,
15WSRR,1,2,,N,A,,,1000,1000
SN035D,2,2,,,A,151,,1100,
SX215R,2,2,,,A,159,,1150,1150
SZ403K,1,2,,,V,153,,990,990
TD925G,1,2,,,V,147,,900,
V767PX,1,2,,N,V,162,,1585,1585
SK911B,1,2,,,V,149,,825,
TD198D,1,2,,,V,156,,995,
TD855J,1,2,,,V,152,,1110,
V257PX,1,2,,,V,171,,1650,1650
37WSRP,1,1,,N,A,,,1550,1550
SX723J,2,2,,,A,151,,910,910
TB074J,1,2,,,V,150,,880,880
SZ619H,1,2,,,V,153,,920,920
TD737G,2,2,,,A,141,,640,
TB152H,1,2,,,V,148,,940,
ST354G,1,2,,,V,169,,1500,
TB102P,1,2,,,V,181,,1850,
SL593T,2,2,,,A,158,,1055,1055
RT474F,2,2,,,A,152,,860,860
TD363D,1,2,,,V,145,,855,
79WRSX,1,2,,N,A,,,1500,1500
TD855G,1,2,,,V,146,,770,
OR65KG,2,3,,N,A,,,9000,9000
TD740G,2,2,,,A,141,,640,
RV302N,2,2,,,A,151,,898,
TB620T,1,2,,,V,157,,1050,1050
TB603G,2,2,,,A,150,,700,700
TB486F,1,2,,,V,160,,1150,1150
V561RD,1,2,,N,V,173,,1800,1800
TB343X,2,2,,,A,156,,945,
SZ037K,2,2,,,A,158,,915,915
TD550H,1,2,,,V,156,,995,995
87WPZB,1,1,,N,A,,,1800,1800
OR33JN,1,3,,J,A,,,9000,9000
SZ208P,1,2,,,V,146,,825,825
TB766S,1,2,,,V,146,,690,690
TB544S,1,2,,,V,143,,695,695
TD878J,1,2,,,V,147,,810,
TB331V,1,2,,,V,153,,900,900
KB346H,1,2,,,V,156,,1075,
TB029Z,1,2,,,V,150,,850,850
SJ639F,2,2,,,A,157,,1090,
OR67KK,1,3,,N,A,,,9000,9000
ST422X,1,2,,,V,144,,870,870
TD944J,1,2,,,V,147,,850,
OR49KG,1,3,,N,A,,,9000,9000
V033PR,1,2,,N,V,173,,1650,1650
SX048S,2,2,,,A,152,,760,760
TD844J,1,2,,,V,148,,900,
SZ436Z,2,2,,,A,158,,1055,1055
51WSSG,1,1,,N,A,,,1700,1700
SR401N,2,2,,,A,157,,1085,1085
SZ386Z,1,2,,,V,152,,920,920
SX350T,2,2,,,A,148,,860,860
ST134X,1,2,,,V,139,,740,740
TB284D,1,2,,,V,145,,520,520
TD835G,2,2,,,A,148,,800,
SZ606L,2,2,,,A,150,,700,700
V135RB,2,2,,,A,179,,2100,2100
OR84KJ,1,3,,J,A,,,9000,9000
SX187L,2,2,,,A,141,,760,760
OR12KN,2,3,,N,A,,,9000,9000
TD846J,2,2,,,A,130,,630,
RD594S,1,2,,,V,158,,970,970
SZ332V,2,2,,,A,156,,1230,1230
SV592S,1,2,,,V,147,,900,900
SZ439Z,1,2,,,V,149,,720,720
TB105F,1,2,,,V,157,,960,960
TD691G,1,2,,,V,152,,1080,
V592PX,2,2,,,A,173,,2100,2100
SX481F,2,2,,,A,156,,1150,1150
40BLB8,2,3,J,N,A,,G,11500,11500
TB011Z,2,2,,,A,152,,867,867
V544RD,1,2,,N,V,162,,1450,1450
SZ980T,2,2,,,A,159,,1370,1370
OR68KG,1,3,,N,A,,,9000,9000
OR96JY,1,3,,J,A,,,9000,9000
TB237X,1,2,,,V,156,,885,
TB623H,1,2,,,V,155,,1075,1075
TB644H,2,2,,,A,156,,970,970
TB471R,1,2,,,V,166,,1300,1300
SX208B,1,2,,,V,154,,970,970
TB891H,1,2,,,V,162,,1050,1050
SZ112R,1,2,,,V,160,,1150,1150
SZ812J,2,2,,,A,158,,963,963
SZ065L,2,2,,,A,146,,800,800
SX055J,2,2,,,A,151,,893,893
TB224X,1,2,,,V,155,,1010,
46WSJN,2,2,,N,A,,,1000,1000
SZ211F,1,2,,,V,143,,680,
NJ959L,1,2,,,V,154,,1045,
SZ703T,1,2,,,V,157,,1200,1200
TB390Z,2,2,,,A,143,,790,790
