Kenteken,"Brandstof volgnummer","Brandstof omschrijving","Brandstofverbruik buiten de stad","Brandstofverbruik gecombineerd","Brandstofverbruik stad","CO2 uitstoot gecombineerd","CO2 uitstoot gewogen","Geluidsniveau rijdend","Geluidsniveau stationair",Emissieklasse,"Milieuklasse EG Goedkeuring (licht)","Milieuklasse EG Goedkeuring (zwaar)","Uitstoot deeltjes (licht)","Uitstoot deeltjes (zwaar)",Nettomaximumvermogen,"Nominaal continu maximumvermogen",Roetuitstoot,"Toerental geluidsniveau","Emissie deeltjes type1 wltp","Emissie co2 gecombineerd wltp","Emissie co2 gewogen gecombineerd wltp","Brandstof verbruik gecombineerd wltp","Brandstof verbruik gewogen gecombineerd wltp","Elektrisch verbruik enkel elektrisch wltp","Actie radius enkel elektrisch wltp","Actie radius enkel elektrisch stad wltp","Elektrisch verbruik extern opladen wltp","Actie radius extern opladen wltp","Actie radius extern opladen stad wltp","Max vermogen 15 minuten","Max vermogen 60 minuten","Netto max vermogen elektrisch","Klasse hybride elektrisch voertuig"
H987SZ,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
DZK63F,1,Benzine,,,,,,65,78,,97/24*2006/27/5,,,,1.12,,,2750,,,,,,,,,,,,,,,
H981SZ,1,Elektriciteit,,,,,,68,,Z,715/2007*630/2012ZX,,,,,60.00,,,,,,,,,,,,,,,,,
DXZ66S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
DZK44F,1,Benzine,,,,,,65,80,,"134/2014 including all amendments u",,,,1.60,,,2750,,,,,,,,,,,,,,,
H345PK,1,Benzine,4.10,4.80,6.10,110,,71,77,6,715/2007*136/2014W,,0.00019,,81.00,,,3750,,,,,,,,,,,,,,,
DZG06K,1,Elektriciteit,,,,,,,,,"EU No 134/2014 up to EU 2018/295",,,,,1.00,,,,,,,,,,,,,,,,,
H788SZ,1,Diesel,7.60,9.30,12.30,251,,73,76,3,70/220*2003/76A,,0.06400,,96.00,,0.80,2625,,,,,,,,,,,,,,,
H306SN,1,Diesel,4.30,4.80,5.70,127,,70,74,6,715/2007*2015/45W,,,,173.00,,0.51,3000,,,,,,,,,,,,,,,
H537SX,1,Benzine,4.30,4.90,5.90,113,,72,80,5,715/2007*630/2012J,,,,66.00,,,3750,,,,,,,,,,,,,,,
VDH64S,1,Diesel,6.80,7.50,8.60,195,,71,74,6,715/2007*2016/646Y,,0.00177,,130.00,,0.50,2375,,,,,,,,,,,,,,,
DZK72N,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
VFJ22G,1,Diesel,4.30,4.80,5.50,124,,71,72,5,715/2007*195/2013L,,0.00045,,70.00,,0.50,2700,,,,,,,,,,,,,,,
H716TG,1,Diesel,6.60,6.90,7.60,182,,68,82,6,,595/2009*2018/932D,,,105.00,,,2850,,,,,,,,,,,,,,,
TX238R,1,Benzine,4.00,4.60,5.50,105,,70,78,5,715/2007*692/2008F,,,,50.00,,,3750,,,,,,,,,,,,,,,
77MLLZ,1,Benzine,,,,,,,92,,,,,,81.00,,,3875,,,,,,,,,,,,,,,
DZD06T,1,Elektriciteit,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,
20BPN1,1,Diesel,,,,,,77,87,6,,595/2009*2018/932D,,,115.00,,,1350,,,,,,,,,,,,,,,
DXZ70S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
H700TB,1,Benzine,3.80,4.40,5.50,101,,69,70,6,715/2007*2016/646W,,0.00019,,70.00,,,3750,,,,,,,,,,,,,,,
57JHX4,1,Benzine,,,,,,,,3,,,,,43.00,,,,,,,,,,,,,,,,,,
VFZ25L,1,Diesel,6.20,6.70,7.70,177,,71,77,6,715/2007*2015/45W,,0.00023,,140.00,,0.52,2850,,,,,,,,,,,,,,,
DZK65F,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2018/295",,,,1.70,,,3250,,,,,,,,,,,,,,,
DZK06K,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
H189KN,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,7.20,,,,,,,,,,,,,,,11.00,,NOVC-HEV
H838LR,1,Benzine,6.40,7.50,9.40,179,,72,83,4,70/220*2002/80B,,,,95.00,,,4500,,,,,,,,,,,,,,,
DZK88D,1,Benzine,,,,,,66,78,,"no 134/2014",,,,1.90,,,3250,,,,,,,,,,,,,,,
H922SZ,1,Benzine,4.20,4.90,5.90,113,,72,75,5,715/2007*459/2012J,,0.00021,,63.00,,,3750,,,,,,,,,,,,,,,
H909SZ,1,Benzine,4.30,5.20,6.70,120,,72,76,6,715/2007*2015/45W,,0.00030,,92.00,,,3750,,,,,,,,,,,,,,,
XZ028L,1,Benzine,4.30,5.50,7.50,128,,74,74,6,715/2007*459/2012W,,0.00011,,90.00,,,3750,,,,,,,,,,,,,,,
DZ9551,1,Benzine,,,,,,,,0,,,,,16.00,,,,,,,,,,,,,,,,,,
09MLTF,1,Benzine,,,,,,76,87,,134/2014*2018/295A1,,,,59.00,,,3875,,,,,,,,,,,,,,,
H008TB,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
DZJ73K,1,Benzine,,,,,,66,77,,97/24*2006/27/5,,,,2.00,,,3500,,,,,,,,,,,,,,,
H988SZ,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
H362TD,2,Elektriciteit,,,,,,,,6,715/2007*2016/646W,,,,,55.00,,,,,,,,,,,,,,,52.00,83.00,OVC-HEV
05MLLV,1,Benzine,,,,,,,92,,,,,,50.00,,,3750,,,,,,,,,,,,,,,
VDN70V,2,LPG,,,,,,,,5,,,,,272.00,,,,,,,,,,,,,,,,,,
DZK58Z,1,Benzine,,,,,,65,80,,"no 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
H625SP,1,Benzine,,,,,,76,84,0,,,,,60.00,,,,,,,,,,,,,,,,,,
H700SX,1,Benzine,,,,178,,73,83,3,,,,,80.00,,,4350,,,,,,,,,,,,,,,
