Kenteken,"Brandstof volgnummer","Brandstof omschrijving","Brandstofverbruik buiten de stad","Brandstofverbruik gecombineerd","Brandstofverbruik stad","CO2 uitstoot gecombineerd","CO2 uitstoot gewogen","Geluidsniveau rijdend","Geluidsniveau stationair",Emissieklasse,"Milieuklasse EG Goedkeuring (licht)","Milieuklasse EG Goedkeuring (zwaar)","Uitstoot deeltjes (licht)","Uitstoot deeltjes (zwaar)",Nettomaximumvermogen,"Nominaal continu maximumvermogen",Roetuitstoot,"Toerental geluidsniveau","Emissie deeltjes type1 wltp","Emissie co2 gecombineerd wltp","Emissie co2 gewogen gecombineerd wltp","Brandstof verbruik gecombineerd wltp","Brandstof verbruik gewogen gecombineerd wltp","Elektrisch verbruik enkel elektrisch wltp","Actie radius enkel elektrisch wltp","Actie radius enkel elektrisch stad wltp","Elektrisch verbruik extern opladen wltp","Actie radius extern opladen wltp","Actie radius extern opladen stad wltp","Max vermogen 15 minuten","Max vermogen 60 minuten","Netto max vermogen elektrisch","Klasse hybride elektrisch voertuig"
H640SX,1,Benzine,4.40,5.00,6.10,116,,71,76,5,715/2007*195/2013J,,,,69.00,,,3750,,,,,,,,,,,,,,,
DZK24T,1,Benzine,,,,,,70,79,,"EU NO 134/2014",,,,1.80,,,3000,,,,,,,,,,,,,,,
DST14F,1,Elektriciteit,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,
DFD23R,1,Benzine,,,,,,,84,,,,,,2.70,,,4000,,,,,,,,,,,,,,,
H992GP,1,Benzine,4.60,5.30,6.50,123,,69,79,6,715/2007*2015/45W,,0.00037,,100.00,,,3300,,,,,,,,,,,,,,,
H403FR,1,Benzine,,,,129,,66,78,6,715/2007*2017/1347AG,,,,110.00,,,3750,0.00,159,,,,,,,,,,,,,
DZK58T,1,Benzine,,,,,,66,77,,97/24*2006/27/5,,,,2.00,,,3500,,,,,,,,,,,,,,,
H596DR,1,Benzine,3.30,3.30,3.10,75,,73,74,6,715/2007*2016/646W,,,,54.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
DZL66F,1,Benzine,,,,,,65,75,,"NO. 134/2014*2016/1824",,,,2.30,,,3250,,,,,,,,,,,,,,,
DSV13Z,1,Benzine,,3.60,,82,,66,74,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
H872KV,1,Benzine,4.40,4.90,5.80,115,,72,81,5,715/2007*692/2008F,,,,51.00,,,4125,,,,,,,,,,,,,,,
H903SX,1,Benzine,4.70,6.00,8.30,143,,73,78,4,70/220*2001/1B,,,,40.00,,,3750,,,,,,,,,,,,,,,
H371SL,1,Elektriciteit,,,,,,66,,Z,715/2007*2018/1832AX,,,,,75.00,,,,,,,,165.00,280,393,,,,,75.00,135.00,
H539TB,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,142.00,,,,,,,,245.00,411,461,,,,,,460.00,
29MLTJ,1,Benzine,,,,,,80,87,,,,,,35.00,,,4050,,,,,,,,,,,,,,,
XS269S,2,Elektriciteit,,,,,,68,,Z,715/2007*2017/1154AD,,,,,18.00,,,,,,,,,,,,,,,,,NOVC-HEV
H343SZ,1,Elektriciteit,,,,,,,,6,,,,,,28.00,,,,,,,,,,,,,,,28.00,65.00,OVC-HEV
49MLTK,1,Benzine,,,,,,77,84,,"R(EU) 134/2014*2016/1824",,,,20.80,,,2875,,,,,,,,,,,,,,,
DZK17P,1,Benzine,,,,,,65,81,,"no 134/2014*2018/295",,,,1.80,,,3250,,,,,,,,,,,,,,,
H041SX,1,Elektriciteit,,,,,,71,,Z,715/2007*2018/1832AX,,,,,29.00,,,,,,,,159.00,455,615,,,,,,150.00,
H397JZ,1,Benzine,4.20,5.20,6.90,120,,72,79,5,715/2007*630/2012J,,,,60.00,,,3750,,,,,,,,,,,,,,,
H932KJ,1,Benzine,,,,119,,,,6,,,,,50.00,,,,,,,,,,,,,,,,,,
88MLTF,1,Benzine,,,,,,77,92,,134/2014*2018/295,,,,70.00,,,4375,,,,,,,,,,,,,,,
VFZ03R,1,Diesel,7.50,9.00,11.50,238,,70,77,4,70/220*2003/76B,,0.04000,,127.00,,1.27,2550,,,,,,,,,,,,,,,
DZL92B,1,Benzine,,,,,,65,80,,"no 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
90NGN1,1,Diesel,3.00,3.40,4.10,89,,,73,5,715/2007*692/2008A,,0.00010,,55.00,,0.53,3150,,,,,,,,,,,,,,,
DZJ29B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
H142NN,1,Benzine,4.30,4.80,5.70,113,,74,82,5,715/2007*692/2008A,,,,51.00,,,4125,,,,,,,,,,,,,,,
H360RV,1,Benzine,5.10,5.80,7.00,130,,73,76,6,715/2007*2015/45W,,0.00070,,96.00,,,3750,,,,,,,,,,,,,,,
42LHS2,1,Diesel,,,,209,,,76,4,,,0.00100,,136.00,,,3000,,,,,,,,,,,,,,,
DZK77R,1,Elektriciteit,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,
H076TD,1,Elektriciteit,,,,,,,,6,,,,,,37.00,,,,,,,,,,,,,,,37.00,53.00,NOVC-HEV
H965SZ,1,Benzine,3.80,4.30,5.10,99,,71,81,5,715/2007*630/2012J,,,,50.00,,,3750,,,,,,,,,,,,,,,
58MLTN,1,Benzine,,,,,,,90,,,,,,70.00,,,4750,,,,,,,,,,,,,,,
DXT63L,1,Benzine,,3.60,,82,,66,74,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
H080SV,1,Diesel,4.10,4.60,5.60,121,,69,76,6,715/2007*136/2014W,,0.00112,,150.00,,0.54,3150,,,,,,,,,,,,,,,
H951TB,1,Benzine,5.20,6.40,8.50,149,,74,78,5,715/2007*692/2008A,,,,70.00,,,3750,,,,,,,,,,,,,,,
H947TH,1,Diesel,6.50,7.30,8.60,192,,74,84,5,715/2007*630/2012M,,0.00160,,96.00,,0.52,2700,,,,,,,,,,,,,,,
DZK21N,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
H133NN,1,Benzine,5.30,6.30,8.10,148,,71,77,5,715/2007*566/2011J,,,,103.00,,,3750,,,,,,,,,,,,,,,
DZJ22X,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
DZK22T,1,Benzine,,,,,,65,80,,"EU NO 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
H603TB,1,Diesel,5.70,6.10,6.60,159,,69,80,6,715/2007*195/2013T,,0.00011,,190.00,,0.50,3000,,,,,,,,,,,,,,,
H235SX,1,Benzine,4.30,4.90,5.90,112,,70,76,6,715/2007*136/2014W,,0.00014,,81.00,,,3750,,,,,,,,,,,,,,,
03MJBB,1,Benzine,,,,,,72,90,,134/2014*2016/1824A1,,,,50.20,,,4000,,,,,,,,,,,,,,,
RN362N,1,Benzine,4.70,5.40,6.50,125,,70,75,6,715/2007*2015/45W,,0.00015,,110.00,,,3750,,,,,,,,,,,,,,,
H560TG,1,Benzine,4.20,5.00,6.30,114,,66,73,5,715/2007*630/2012J,,0.00315,,92.00,,,3750,,,,,,,,,,,,,,,
H101TJ,1,Diesel,6.00,7.20,9.40,190,,75,77,5,715/2007*195/2013M,,0.00006,,62.00,,0.50,2375,,,,,,,,,,,,,,,
DZK34N,1,Elektriciteit,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,,
G291KP,1,Benzine,,,,107,,67,69,6,715/2007*2017/1347AG,,,,92.00,,,3750,,,,,,,,,,,,,,,
89MLTF,1,Benzine,,,,,,80,93,,,,,,92.00,,,3875,,,,,,,,,,,,,,,
H209TD,1,Elektriciteit,,,,,,68,,Z,715/2007*2017/1347AX,,,,,28.00,,,,,,,,,,,,,,,,150.00,
H176LK,1,Benzine,4.80,5.50,6.60,124,,72,77,6,715/2007*2015/45W,,0.00102,,85.00,,,3375,,,,,,,,,,,,,,,
H515GS,1,Benzine,3.90,3.90,3.90,91,,71,69,6,715/2007*2016/427W,,,,73.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
H878NN,1,Benzine,5.80,7.70,10.70,178,,69,72,5,715/2007*692/2008A,,0.00448,,114.00,,,3750,,,,,,,,,,,,,,,
H026SV,1,Benzine,5.60,6.60,8.30,154,,70,72,5,715/2007*630/2012J,,0.00121,,110.00,,,3750,,,,,,,,,,,,,,,
DZ9510,1,Benzine,,,,171,,,,0,,,,,114.00,,,,,,,,,,,,,,,,,,
0045NE,1,Benzine,,,,,,,,0,,,,,59.00,,,,,,,,,,,,,,,,,,
G980TR,1,Benzine,,,,,,,,,,,,,29.50,,,,,,,,,,,,,,,,,,
DZL96B,1,Benzine,,,,,,66,78,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
DZK06N,1,Benzine,,,,,,71,81,,134/2014*2018/295,,,,2.40,,,3750,,,,,,,,,,,,,,,
H912NR,1,Benzine,4.30,5.20,6.80,120,,70,82,6,715/2007*136/2014W,,,,66.00,,,3750,,,,,,,,,,,,,,,
VFN33L,1,Diesel,8.40,8.90,9.70,233,,71,80,6,,595/2009*2018/932D,,,140.00,,,2850,,,,,,,,,,,,,,,
ZV094N,1,Benzine,6.90,9.40,13.70,224,,71,74,4,70/220*2003/76B,,,,147.00,,,3600,,,,,,,,,,,,,,,
H506KX,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
H644LV,1,Benzine,4.90,5.90,7.60,137,,70,82,5,715/2007*692/2008F,,0.00200,,92.00,,,3750,,,,,,,,,,,,,,,
VFZ58F,1,Diesel,5.30,6.10,7.40,159,,73,77,6,715/2007*2015/45Y,,,,75.00,,0.50,2375,,,,,,,,,,,,,,,
DZJ68B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
H816LT,1,Benzine,4.80,6.00,8.10,139,,71,75,5,715/2007*692/2008F,,,,92.00,,,3750,,,,,,,,,,,,,,,
H763SK,1,Benzine,4.10,4.60,5.50,108,,70,83,4,70/220*2003/76B,,,,50.00,,,4500,,,,,,,,,,,,,,,
H798TB,1,Benzine,,,,89,,73,74,6,715/2007*2017/1347AD,,,,54.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
H686JD,1,Benzine,5.20,5.80,6.80,133,,70,73,6,715/2007*2015/45W,,0.00100,,85.00,,,3375,,,,,,,,,,,,,,,
VFZ13J,1,Diesel,7.20,7.90,9.00,207,,75,79,6,715/2007*2016/646Y,,0.00031,,96.00,,0.43,2625,,,,,,,,,,,,,,,
H099SF,1,Benzine,4.10,3.80,3.40,86,,67,68,6,715/2007*2016/646W,,,,72.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
H239KD,1,Benzine,5.00,6.10,8.00,146,,72,81,4,70/220*2003/76B,,,,59.00,,,4200,,,,,,,,,,,,,,,
H239TF,1,Benzine,4.00,4.70,6.00,107,,70,75,6,715/2007*136/2014W,,0.00023,,66.00,,,3750,,,,,,,,,,,,,,,
DZJ77B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
H851TB,2,Elektriciteit,,,,,,,,Z,,,,,,,,,,,,,,,,,,,,,12.00,,
31MLTF,1,Benzine,,,,,,73,88,,"134/2014, WMTC STAGE II",,,,56.00,,,4250,,,,,,,,,,,,,,,
47MLLR,1,Benzine,,,,,,77,99,,,,,,146.00,,,6750,,,,,,,,,,,,,,,
H878SG,1,Benzine,4.50,5.40,7.00,125,,71,73,6,715/2007*136/2014W,,0.00030,,92.00,,,3750,,,,,,,,,,,,,,,
DXT21F,1,Benzine,,,,,,66,81,,168/2013*134/2014,,,,1.50,,,3125,,,,,,,,,,,,,,,
19MLRX,1,Benzine,,,,,,79,92,,134/2014/EU,,,,34.90,,,3625,,,,,,,,,,,,,,,
DZK98N,1,Benzine,,,,,,71,78,,,,,,2.60,,,3750,,,,,,,,,,,,,,,
H078SZ,1,Elektriciteit,,,,,,71,,Z,715/2007*2018/1832AX,,,,,29.00,,,,,,,,159.00,455,615,,,,,,150.00,
27MLTG,1,Benzine,,,,,,77,90,,"134/2014 (2018/295)",,,,70.00,,,4250,,,,,,,,,,,,,,,
VFZ10D,1,Diesel,8.30,10.10,13.20,267,,72,80,3,70/220*2003/76A,,,,128.00,,1.33,3000,,,,,,,,,,,,,,,
XV076B,2,LPG,,8.60,,206,,73,82,4,,,,,110.00,,,4125,,,,,,,,,,,,,,,
H212JH,1,Benzine,4.30,4.80,5.80,111,,72,76,5,715/2007*195/2013J,,,,51.00,,,3750,,,,,,,,,,,,,,,
30GSZR,1,Benzine,5.30,6.40,8.40,154,,72,80,4,70/220*1999/102B,,,,55.00,,,4200,,,,,,,,,,,,,,,
DZJ79P,1,Benzine,,,,,,65,80,,"(EU) No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
DZK89H,1,Benzine,,,,,,66,78,,97/24*2006/27/5,,,,1.10,,,2750,,,,,,,,,,,,,,,
H153HS,1,Benzine,5.20,7.10,10.50,165,,68,75,5,715/2007*692/2008A,,0.00167,,115.00,,,3750,,,,,,,,,,,,,,,
H124SX,1,Elektriciteit,,,,,,,,6,,,,,,55.00,,,,,,,,,,,,,,,55.00,83.00,OVC-HEV
VFS85T,1,Diesel,,,,,,73,74,6,,595/2009*2018/932D,,,110.00,,0.50,1969,,,,,,,,,,,,,,,
H171RZ,1,Benzine,3.50,3.60,3.60,83,,74,74,6,715/2007*2015/45W,,,,73.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
DZJ98R,1,Benzine,,2.90,,65,,65,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
DZK11T,1,Benzine,,,,,,65,80,,"EU NO 134/2014 EU 2018/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
DZH95X,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2018/295",,,,1.70,,,3250,,,,,,,,,,,,,,,
H804KK,1,Benzine,5.00,5.70,7.00,133,,69,76,5,715/2007*692/2008F,,,,69.00,,,3750,,,,,,,,,,,,,,,
H849TG,1,Benzine,4.90,5.70,7.10,128,,70,76,6,715/2007*2016/646W,,0.00177,,85.00,,,3375,,,,,,,,,,,,,,,
H855LP,1,Benzine,,,,,49.00000,72,71,6,715/2007*2016/646W,,0.00031,,235.00,,,3750,,,,,,,,,,,,,,,OVC-HEV
H468PF,1,Benzine,5.20,5.80,6.70,133,,72,78,6,715/2007*136/2014W,,0.00063,,92.00,,,3750,,,,,,,,,,,,,,,
59MLTG,1,Benzine,,,,,,,,,,,,,64.00,,,,,,,,,,,,,,,,,,
H548TF,1,Benzine,,,,106,,66,74,6,715/2007*2018/1832DG,,,,66.00,,,3750,,115,,,,,,,,,,,,,
H951TH,1,Benzine,4.10,4.80,5.90,111,,68,83,6,715/2007*2015/45W,,0.00021,,100.00,,,3750,,,,,,,,,,,,,,,
VFR33P,1,Diesel,7.40,7.50,7.60,196,,75,82,6,,595/2009*2018/932D,,,105.00,,,2850,,,,,,,,,,,,,,,
07MLTH,1,Benzine,,,,,,79,90,,,,,,78.00,,,4700,,,,,,,,,,,,,,,
DZH52V,1,Benzine,,,,,,65,75,,"EU no 134/2014 as amended 2016/1824",,,,1.90,,,3250,,,,,,,,,,,,,,,
DZK13V,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
68BPN1,1,Diesel,,,,,,79,95,6,,595/2009*2018/932D,,,346.00,,0.36,1350,,,,,,,,,,,,,,,
H100SX,1,Elektriciteit,,,,,,,,6,,,,,,55.00,,,,,,,,,,,,,,,52.00,83.00,OVC-HEV
DZK55H,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2018/295",,,,1.70,,,3250,,,,,,,,,,,,,,,
ZV682H,1,Benzine,5.90,7.10,9.00,166,,70,79,4,70/220*2003/76B,,,,91.00,,,4500,,,,,,,,,,,,,,,
DZK71R,1,Diesel,,,,,,72,79,,"134/2014*2018/295 UE",,,,6.00,,0.65,2400,,,,,,,,,,,,,,,
RG288Z,1,Diesel,4.10,4.60,5.50,121,,71,70,5,715/2007*566/2011F,,0.00018,,77.00,,0.50,2375,,,,,,,,,,,,,,,
H944TH,1,Benzine,5.10,6.10,7.80,146,,72,77,4,70/220*2003/76B,,,,40.00,,,3563,,,,,,,,,,,,,,,
39YB75,1,Benzine,,,,,,,,0,,,,,58.00,,,,,,,,,,,,,,,,,,
H520SX,1,Benzine,4.50,5.10,6.00,114,,72,80,6,715/2007*2015/45W,,,,66.00,,,3750,,,,,,,,,,,,,,,
DZK55N,1,Benzine,,,,,,65,80,,"No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
DTD10L,1,Elektriciteit,,,,,,,,,,,,,,1.70,,,,,,,,,,,,,,,,,
H540TF,1,Benzine,5.10,5.60,6.60,129,,69,72,5,715/2007*136/2014J,,0.00350,,85.00,,,3750,,,,,,,,,,,,,,,
VFZ10G,1,Diesel,7.20,7.40,7.70,194,,68,82,6,,595/2009*2018/932D,,,120.00,,,2850,,,,,,,,,,,,,,,
H602SZ,1,Benzine,,,,,,77,89,,,,,,23.80,,,3500,,,,,,,,,,,,,,,
DZD65H,1,Benzine,,,,,,71,79,,134/2014*2016/1824A1,,,,2.30,,,3625,,,,,,,,,,,,,,,
DZL14H,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
DZK64S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.20,,,,,,,,,,,,,,,,,
H381LN,1,Diesel,6.00,6.70,7.90,177,,74,80,6,715/2007*136/2014Y,,0.00076,,96.00,,0.52,2625,,,,,,,,,,,,,,,
H837SZ,1,Benzine,5.30,6.00,7.20,140,,71,78,5,715/2007*692/2008F,,,,66.00,,,3750,,,,,,,,,,,,,,,
H715TH,1,Benzine,,,,264,,,,6,,,,,228.00,,,,,,,,,,,,,,,,,,
DZK34K,1,Elektriciteit,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,
H297TB,2,Benzine,3.90,4.10,4.60,94,,66,74,6,715/2007*2018/1832DG,,,,66.00,,,3750,,113,,5.00,,,,,,,,,,,NOVC-HEV
H958LP,1,Benzine,3.60,3.60,3.30,82,,73,74,6,715/2007*2016/646W,,,,54.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
H839PZ,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,28.00,,,,,,,,154.00,449,619,,,,,,150.00,
60MLTD,1,Benzine,,,,,,76,87,,134/2014*2018/295A1,,,,59.00,,,3875,,,,,,,,,,,,,,,
VFK94Z,1,Diesel,4.10,4.60,5.50,121,,71,70,5,715/2007*195/2013J,,0.00018,,77.00,,0.50,2375,,,,,,,,,,,,,,,
H378TB,1,Elektriciteit,,,,,,67,,Z,715/2007*2017/1347AX,,,,,29.00,,,,,,,,157.00,452,648,,,,,,150.00,
DZK81Z,1,Benzine,,,,,,65,80,,"No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
XV076B,1,Benzine,6.70,8.60,11.70,206,,73,82,4,70/220*2001/100B,,,,110.00,,,4125,,,,,,,,,,,,,,,
H623SZ,1,Benzine,6.60,8.30,11.30,199,,74,88,4,70/220*2003/76B,,,,125.00,,,4500,,,,,,,,,,,,,,,
20MKJJ,1,Benzine,,,,,,77,88,,,,,,53.50,,,2750,,,,,,,,,,,,,,,
VFZ92N,1,Diesel,4.50,5.10,6.10,134,,71,76,4,70/220*2003/76B,,0.00100,,55.00,,0.30,3000,,,,,,,,,,,,,,,
69YD50,1,Benzine,,,,,,,,0,,,,,169.00,,,,,,,,,,,,,,,,,,
H253SX,1,Benzine,,3.90,,84,,73,74,6,715/2007*2017/1154AD,,,,54.00,,,2500,,112,,5.00,,,,,,,,,,,NOVC-HEV
DZG52P,1,Elektriciteit,,,,,,,,,,,,,,0.80,,,,,,,,,,,,,,,,,
H367TD,1,Benzine,4.50,5.40,7.10,124,,73,75,6,715/2007*136/2014W,,0.00032,,115.00,,,3750,,,,,,,,,,,,,,,
H789SP,1,Benzine,6.30,7.40,9.40,169,,69,73,6,715/2007*2016/646W,,0.00009,,184.00,,,3750,,,,,,,,,,,,,,,
H827LR,1,Benzine,5.00,6.10,8.00,146,,72,81,4,70/220*2003/76B,,,,66.00,,,4200,,,,,,,,,,,,,,,
59JNRG,1,Diesel,,,,,,76,78,3,,,,,150.00,,,3000,,,,,,,,,,,,,,,
H051SK,2,Benzine,,,,,40.00000,66,75,6,715/2007*2018/1832DG,,,,99.00,,,3375,,,46,,2.00,,,,,,,,,,OVC-HEV
45MLTD,1,Benzine,,,,,,75,93,,134/2014*2018/295A1,,,,147.10,,,5500,,,,,,,,,,,,,,,
GR936F,1,Benzine,4.60,5.60,7.40,130,,,75,6,715/2007*195/2013W,,0.00030,,121.00,,,3750,,,,,,,,,,,,,,,
H849TD,1,Elektriciteit,,,,,,,,6,,,,,,60.00,,,,,,,,,,,,,,,,100.00,OVC-HEV
DTN88N,1,Benzine,,,,,,71,81,,134/2014*2018/295A1,,,,2.40,,,3750,,,,,,,,,,,,,,,
H041JJ,1,Benzine,6.90,7.90,9.60,183,,72,73,6,715/2007*136/2014W,,0.00013,,245.00,,,3750,,,,,,,,,,,,,,,
98MLTJ,1,Benzine,,,,,,74,90,,134/2014*2018/295A1,,,,35.00,,,4300,,,,,,,,,,,,,,,
DZJ13P,1,Benzine,,,,,,69,77,,"(EU) 134/2014*(EU) 2016/1824",,,,2.20,,,3625,,,,,,,,,,,,,,,
DVX79V,1,Benzine,,2.90,,65,,65,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
50RVV1,1,Benzine,4.90,5.90,7.60,139,,,73,5,715/2007*692/2008A,,,,74.00,,,3750,,,,,,,,,,,,,,,
75BPN1,1,Diesel,,,,,,81,89,6,,595/2009*2018/932D,,,368.00,,,1425,,,,,,,,,,,,,,,
VFT42V,1,Benzine,,,,357,,75,87,5,715/2007*2017/1347AF,,,,295.00,,,3750,,357,,,,,,,,,,,,,
H215KV,1,Benzine,4.80,5.50,6.80,127,,71,85,5,715/2007*692/2008F,,,,73.00,,,3750,,,,,,,,,,,,,,,
H657TD,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
DZK47T,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
H584TF,1,Benzine,5.10,5.60,6.60,129,,70,73,6,715/2007*2016/646W,,0.00050,,85.00,,,3375,,,,,,,,,,,,,,,
H376TD,1,Benzine,4.90,5.80,7.30,133,,67,75,6,715/2007*2016/646W,,0.00042,,140.00,,,3750,,,,,,,,,,,,,,,
H790TD,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,28.00,,,,,,,,147.00,484,660,,,,,,150.00,
H754SZ,1,Benzine,4.80,6.00,8.10,139,,69,77,5,715/2007*692/2008A,,,,77.00,,,3750,,,,,,,,,,,,,,,
H870NN,1,Benzine,4.00,4.60,5.70,104,,73,78,6,715/2007*136/2014W,,,,66.00,,,3750,,,,,,,,,,,,,,,
H718TH,1,Diesel,,,,,,74,85,5,715/2007*195/2013M,,,,109.00,,,2700,,,,,,,,,,,,,,,
H818TF,1,Benzine,3.90,4.50,5.50,106,,71,80,4,70/220*2003/76B,,,,50.00,,,4500,,,,,,,,,,,,,,,
H851TB,1,Benzine,4.30,4.60,5.20,109,,68,78,4,,,,,70.00,,,4500,,,,,,,,,,,,,,,
H870TB,1,Benzine,4.70,5.60,7.00,129,,71,76,6,715/2007*136/2014W,,0.00032,,115.00,,,3750,,,,,,,,,,,,,,,
H215JT,1,Benzine,4.20,4.80,5.80,110,,67,73,6,715/2007*2015/45W,,0.00218,,92.00,,,3750,,,,,,,,,,,,,,,
DZK39J,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014*2016/1824",,,,,1.50,,,,,,,,,,,,,,,,,
H888PS,1,Benzine,,,,125,,66,78,6,715/2007*2017/1347AG,,,,110.00,,,3750,,,,,,,,,,,,,,,
H185TF,1,Diesel,5.00,6.00,7.90,159,,70,78,5,715/2007*630/2012J,,0.00168,,120.00,,0.52,2625,,,,,,,,,,,,,,,
H079TH,1,Benzine,4.90,5.80,7.50,135,,73,82,6,715/2007*2015/45W,,,,73.60,,,3750,,,,,,,,,,,,,,,
H035SX,1,Elektriciteit,,,,,,71,,Z,715/2007*2018/1832AX,,,,,29.00,,,,,,,,159.00,455,615,,,,,,150.00,
12MLTJ,1,Benzine,,,,,,75,91,,134/2014*2018/295,,,,66.00,,,4000,,,,,,,,,,,,,,,
DXS89F,1,Benzine,,,,,,65,80,,"(Eu)No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
H715KK,1,Benzine,5.20,6.40,8.50,145,,72,78,5,715/2007*195/2013J,,0.00037,,99.00,,,3750,,,,,,,,,,,,,,,
18MLTJ,1,Benzine,,3.40,,79,,74,83,,134/2014*2018/295A1,,,,20.10,,,4000,,,,,,,,,,,,,,,
DXG44B,1,Benzine,,,,,,70,80,,"EU no 134/2014*2016/1824",,,,2.25,,,3500,,,,,,,,,,,,,,,
DXR69V,1,Benzine,,,,,,65,81,,134/2014*2016/1824,,,,1.80,,,3250,,,,,,,,,,,,,,,
H410SG,1,Benzine,4.40,5.10,6.40,117,,66,73,5,715/2007*630/2012J,,0.00315,,92.00,,,3750,,,,,,,,,,,,,,,
G108RB,1,Benzine,5.40,6.50,8.30,147,,67,71,6,715/2007*2018/1832DG,,,,120.00,,,3750,0.15,167,,7.40,,,,,,,,,,,
SZ824G,1,Benzine,4.70,5.40,6.70,124,,68,73,6,715/2007*2017/1347*AG,,0.00057,,96.00,,,3750,,145,,6.50,,,,,,,,,,,
XJ610V,1,Benzine,4.30,5.10,6.40,114,,70,75,6,715/2007*2017/1347AG,,,,62.50,,,3750,,130,,5.80,,,,,,,,,,,
XG596J,2,Diesel,5.20,5.60,6.20,146,,69,70,6,715/2007*2017/1347AG,,0.00093,,210.00,,0.50,2375,0.93,186,,7.10,,,,,,,,,,,NOVC-HEV
TF090J,1,Diesel,4.20,4.60,5.40,122,,67,74,6,715/2007*2017/1347BG,,0.00031,,140.00,,0.28,3188,0.00,149,,5.70,,,,,,,,,,,
XX064K,1,Benzine,4.10,4.60,5.30,104,,69,71,6,715/2007*2017/1347AG,,0.00003,,70.00,,,3750,0.03,121,,5.40,,,,,,,,,,,
ZL217N,2,Benzine,4.00,3.70,3.40,86,,72,80,6,715/2007*2017/1347AG,,,,77.20,,,3750,0.20,111,,4.90,,,,,,,,,,,NOVC-HEV
XP980X,1,Benzine,5.70,6.80,8.60,157,,68,72,6,715/2007*2017/1347AG,,,,184.00,,,3750,0.18,173,,7.70,,,,,,,,,,,
H772PL,1,Benzine,4.60,5.10,6.00,119,,70,73,6,715/2007*2015/45W,,0.00106,,81.00,,,3750,,,,,,,,,,,,,,,
H733SZ,1,Benzine,4.50,5.60,7.40,129,,72,82,5,715/2007*692/2008A,,,,60.00,,,3750,,,,,,,,,,,,,,,
H802NJ,1,Benzine,4.10,3.90,3.50,87,,67,68,6,715/2007*2016/646W,,,,72.00,,,2500,,,,,,,,,,,,,,,
H593TB,1,Benzine,4.90,5.70,7.10,134,,72,72,5,715/2007*692/2008A,,0.00250,,77.00,,,3750,,,,,,,,,,,,,,,
